rachel_good,rachel_bad,ross_good,ross_bad
"yeah, kicking a guy in the crotch all morning really takes it out of ya!",i could not have done this without you.,"yes, hello. i have a question. umm, i used your pen to draw on my friend's face. a beard and a moustache. thank you. no, she didn't think so. i know it's like anyway, umm well make-up didn't cover it and we've tried everything to get it off and nothing's worked. what-what do we do? yeah. uh-huh. yeah. oh! okay. okay, thank you! yeah, it's not coming off.","see, i see.... big passion in your future."
yeah!,what?,"umm, he said he thought i was funny. so… okay, look-look umm, let's just go downstairs, we'll have some fun, and you will forget all about it.",i do.
what? you wanna see me self-defend myself?! go over there and pretend you’re a sexual predator! go on! i dare ya!!,"hey, i was doin' great before i found out about you. you think it's easy for me to see you with julie?","oh, come on! rach, it's-it's not that bad.","hey, i have a question. well, actually, it's not so much a question as.. more of a general wondering... ment."
isn’t that a kind of sushi?,"alright, fine, you go ahead and you do that, alright ross.","look, just because some idiot drew on your face doesn't mean you shouldn't have any fun! okay? and besides, hey-hey-hey no one is even gonna look at you. okay? this is vegas! hello! there are tons of other freaks here! there are tons…of…freaks here. no other. no. come on! no one will notice, i swear!","okay. umm, for a while now, i've been wanting to, um...."
ohh! i would kill for a salmon skin roll right now!,'cause i don't need your stupid ship.,"okay, there was some staring and pointing.","yes, yes, that's right..."
"ooh! y’know what? if we made reservations, we could have unagi in about a half-hour.",good.,"oh, hey y'know, they-they really overcharge you for that stuff. but who cares?! because it's all on me! that is, one big drink!",what? ow!
"well, valentine’s day was like two weeks ago, so i wouldn’t get her a calendar!",ross do you realise this is the first time in my life i’m doing something i actually care about. this is the first time in my life i’m doing something that i’m actually good at. i mean. if you don’t get that...,umm… wow! that's-that's some pricey nut!,"you were incredible! brand new woman, ladies and gentlemen."
"aw, i love that.",well neither do i!,"really like those macadamia nuts, huh?","ok, um, uh, more clothes in the dryer? i'm fine, i'm fine."
"okay-okay-okay! so, making things. that sounds like so much fun.",oh my god.,"all right. y'know what? we don’t have to go downstairs! we can bring vegas up to us! all right, come on, come on, we'll play some blackjack. here we go. 13.",you had no right to tell me you ever had feelings for me.
"hey, wait a minute! that is my sock!","oh my god. i cannot keep having this same fight over and over again, ross, no, you’re, you’re, you’re making this too hard.","oohh, 23. which is what we play to at this casino! you win 10 dollars!",i was doing great with julie before i found out about you.
what the hell was that?!,"i don’t know, i don’t know. urrrgh! look, maybe we should take a break.",you're right!,"the point is i... i don't need this right now, ok. it, it's too late, i'm with somebody else, i'm happy. this ship has sailed."
"all right, so we weren’t pre pared!",no. a break from us.,we need more cards.,fine.
danger !!!!!,"hi. ohhh, you got my message.",that must be our alcohol and beers!,good.
"ahhhhh, salmon skin roll.",so what do you say? can i be your girlfriend again?,"ohh, it's joey! i love joey!","no, hey, i get that, okay, i get that big time. and i’m happy for ya, but i’m tired of having a relationship with your answering machine! okay, i don’t know what to do anymore."
yep!,"y'know what, i want you to leave! get outta here!","i'll do it. hey, whatever you need me to do, i'm your man. whoa-oh-whoa! are you, are you okay?",is this about mark?
"oh, of course!",just get out! now!!,"ohh, here's that macadamia nut!","okay, it’s not, it’s not."
"definitely! phoebe, you will not find a single game show host, who’s ass i cannot kick.",okay! all right! how was she?,nope! something else.,"oh i’m, i’m making this too hard. okay, what do you want me to do."
say it!,was she good?,"i wanna get out of the room! y'know, i…i really miss downstairs.","okay, okay, fine, you’re right. let’s ah, let’s take a break, let’s cool off, okay, let’s get some frozen yogart, or something.."
say it!,"come on ross! you said you wanted to talk about it, let’s talk about it!! how was she?",well hello! i'm ross!,"yeah, y'know the ah, the girlfriend i told you about last night? well it turns out she ah, she wants to get back together with me. oh, i found it!!"
i don’t like sitting up here! i’m just gonna over…,good different?,"excuse me sir, you've got a little something right here.",yeah!
oh my god! why is he jumping on those women!,"...the way you owned up to everything, it just showed me how much you’ve grown. y'know? i mean my mom never thought this would work out. it was all, “once a cheater, always a cheater.” ooh, i just wish we hadn’t lost those four months, but if time was what you needed just to gain a little perspective...",hello!,"oh, thank you. hey, hey. rachel!!!!"
"i… well, i don’t think they need any help.",you seem to really like her.,"well, hello, mrs. ross!","yeah, oh hey, you are right on time."
what’s the matter?,"ross, that girl just spent the entire evening talking to your friends, asking to hear stories about you, looking through monica’s photo albums, i mean you don’t do that if you’re just in it for two weeks.","well, hello, mrs. ross!","yes, you can, very much."
great.,"yeah, you got like 14 hours until she has to be at the airport, and you’re sitting here in the hallway with a 28-year-old cheerleader with a fat lip.",why are we in bed together?,ahhhh!!
so what-what is the exhibit.,yeah. ,yeah.,no!!
hi!,hey guys! what’s up?,"no! but we-we didn’t have…sex-uh, did we? i mean, i don’t remember much about last night, it was such a blur.",no!! no!! i wanna stay. i wanna talk about this.
i mean ross all that does is remind us that you are interested in fossils.,what’s this? is this ross’s wedding invitation?,and we didn’t have sex.,what?
umm.,"oh, no! no you guys! come on, you don’t have to do that! i’m happy for him! i am! i really—i’m-i’m happ—i’ll work on it.",tell me about it.,she was...
yeah.,yeah.,hey!,"she, she was different."
"ooh, the gift shop!","oh, honey, i don’t know. i…",what?,nobody likes change.
"oh, wait yes, but i can’t eat too much. paul is taking me out to dinner tonight, he said he has a big surprise planned.","no, i’ll think about it. yeah.",yeah!,"what? okay, okay, okay, okay."
what?! no! why?!,who's this from?,what?! hello! we didn’t get married.,we were on a break!!!!!!!
i didn’t know you could get married here.,oh... oh my god. he remembered.,we-we-we—i remember being in a chapel.,"yeah, i really do. yeah, but what am i gonna do, i mean we-we both agreed that it was gonna be a two-week thing, y’know no commitment."
oh sorry didn’t mean to interrupt. it’s just such a beautiful space; do you do a lot of weddings here?,"it was like months ago. we were walking by this antique store, and i saw this pin in the window, and i told him that it was just like one my grandmother had when i was a little girl. oh! i can't believe he remembered!",i—they would not let us get married when we were that drunk!,you think?
"monica, you should totally put your name down on the list",what did you just say?,"laugh it up, but the joke’s on you. because we don’t need to get divorced, okay? we we’re just gonna get an annulment.","hey, you’re right."
"yeah hon, it can’t hurt to put your name down! i mean in if two years if you’re not engaged you just don’t use it.",oh.... my god.,what?,"but we haven't seen each other since then. well i land in china, guess who's in charge of the dig."
i’m gonna do it too!,oh my god.,"no-no, that’s-that’s not my thing! i do not love getting divorced!","oh, that is so sweet. no, no, ok, you hang up. ok, ok, one, two, three. well you didn't hang up either."
"really? who would, who would you marry?","julie! julie, isn't that great? i mean, isn't that just kick- you-in-the-crotch, spit-on-your-neck fantastic?",hey!,"ok, no, no, you hang up. you, you, y—"
oh pheebs.,she didn't hang up either...,"yeah. yeah, actually um, i wanted to talk to you about that whole annulment thing?","rach, i got a message from you."
